label,K2HPO4_(mM),KH2PO4_(mM),Na2HPO4_(mM),Glucose_(mM),(NH4)2SO4_(mM),NH4Cl_(mM),Alanine_(mM),Arginine/HCl_(mM),Asparagine/H2O_(mM),AsparticAcid_(mM),Cystine/HCl/H2O_(mM),GlutamicAcid/HCl_(mM),Glutamine_(mM),Glycine_(mM),Histidine/HCl/H2O_(mM),Isoleucine_(mM),Leucine_(mM),Lysine/HCl_(mM),Methionine_(mM),Phenylalanine_(mM),Proline_(mM),Serine_(mM),Threonine_(mM),Tryptophan_(mM),Tyrosine_(mM),Valine_(mM),KCl_(mM),NaCl_(mM),MgSO4/7H2O_(mM),MgCl2/6H2O_(mM),CaCl2/2H2O_(mM),CaSO4/2H2O_(mM),Na3C6H5O7/2H2O_(mM),Na2S2O3/5H2O_(mM),FeSO4/7H2O_(mM),CuSO4/5H2O_(mM),Na2MoO4/2H2O_(mM),ZuSO4/7H2O_(mM),Thiamine/HCl_(mM),Pyridoxine_(mM),FolicAcid_(mM),Riboflavin_(mM),H3BO3_(mM),AminobenzoicAcid_(mM)
Curve00016,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00017,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00018,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00019,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00020,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00021,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00022,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00023,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00024,30.75,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00025,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00026,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00027,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00028,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00029,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00030,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00031,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00032,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00033,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00034,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00035,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00036,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00085,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00086,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00087,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00088,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00089,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00090,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00091,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00092,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00093,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00094,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00095,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00096,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00145,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00146,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00147,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00148,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00149,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00150,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00151,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00152,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00153,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00154,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00155,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00156,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00205,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00206,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00207,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00208,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00209,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00210,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
Curve00211,61.5,22.0,42.3,2.0,1.0,1.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.2,0.1,0.1,0.1,0.01,0.005,0.02,0.5,0.0005,1.0e-5,0.001,0.0001,0.001,0.002,5.0e-5,0.0005,0.008,0.001
